TransactionID,Date,Description,Amount,Type,Category,Account
1,2023-01-01,Salary Deposit,5000,Income,Salary,Bank Account
2,2023-01-05,Grocery Shopping,-100,Expense,Groceries,Credit Card
3,2023-01-10,Utilities Bill,-50,Expense,Utilities,Bank Account
4,2023-01-15,Dinner with Friends,-30,Expense,Entertainment,Credit Card
5,2023-01-20,Online Purchase,-75,Expense,Shopping,Credit Card
6,2023-02-01,Consulting Fee,1200,Income,Consulting,Bank Account
7,2023-02-05,Movie Night,-20,Expense,Entertainment,Credit Card
8,2023-02-10,Health Insurance,-80,Expense,Insurance,Bank Account
9,2023-02-15,Bookstore Purchase,-25,Expense,Shopping,Credit Card
10,2023-02-20,Electricity Bill,-60,Expense,Utilities,Bank Account
11,2023-03-01,Freelance Project,800,Income,Freelance,Bank Account
12,2023-03-05,Coffee Shop,-10,Expense,Food and Drinks,Credit Card
13,2023-03-10,Internet Subscription,-45,Expense,Utilities,Bank Account
14,2023-03-15,Travel Expenses,-150,Expense,Travel,Credit Card
15,2023-03-20,Dividend Payment,300,Income,Investments,Bank Account
16,2023-04-01,Home Maintenance,-70,Expense,Home,Credit Card
17,2023-04-05,Software Purchase,-40,Expense,Technology,Bank Account
18,2023-04-10,Car Fuel,-35,Expense,Transportation,Credit Card
19,2023-04-15,Music Concert Tickets,-50,Expense,Entertainment,Credit Card
20,2023-04-20,Bonus Payment,1000,Income,Bonus,Bank Account
21,2023-05-01,Restaurant Dinner,-45,Expense,Food and Drinks,Credit Card
22,2023-05-05,Phone Bill,-30,Expense,Utilities,Bank Account
23,2023-05-10,Office Supplies,-25,Expense,Office,Bank Account
24,2023-05-15,Home Decor,-80,Expense,Home,Credit Card
25,2023-05-20,Stock Dividend,200,Income,Investments,Bank Account
26,2023-06-01,Web Development Project,700,Income,Freelance,Bank Account
27,2023-06-05,Shopping Spree,-120,Expense,Shopping,Credit Card
28,2023-06-10,Subscription Renewal,-15,Expense,Subscriptions,Bank Account
29,2023-06-15,Weekend Getaway,-200,Expense,Travel,Credit Card
30,2023-06-20,Rent Payment,-500,Expense,Housing,Bank Account
31,2023-07-01,Stock Sale Proceeds,400,Income,Investments,Bank Account
32,2023-07-05,Car Maintenance,-60,Expense,Transportation,Credit Card
33,2023-07-10,Clothing Purchase,-40,Expense,Shopping,Credit Card
34,2023-07-15,Electric Guitar Sale,150,Income,Sale,Bank Account
35,2023-07-20,Utility Deposit Refund,50,Income,Refund,Bank Account
36,2023-08-01,Book Launch Event,-30,Expense,Entertainment,Credit Card
37,2023-08-05,Home Repairs,-90,Expense,Home,Bank Account
38,2023-08-10,Training Course Fee,80,Income,Education,Bank Account
39,2023-08-15,Charity Donation,-20,Expense,Charity,Bank Account
40,2023-08-20,Software Subscription,-15,Expense,Subscriptions,Credit Card
41,2023-09-01,Consultation Fee,150,Income,Consulting,Bank Account
42,2023-09-05,Coffee Shop Meeting,-15,Expense,Food and Drinks,Credit Card
43,2023-09-10,Car Insurance,-70,Expense,Insurance,Bank Account
44,2023-09-15,Outdoor Adventure,-80,Expense,Travel,Credit Card
45,2023-09-20,Product Sale,120,Income,Sale,Bank Account
46,2023-10-01,Art Supplies,-25,Expense,Art,Bank Account
47,2023-10-05,Movie Tickets,-12,Expense,Entertainment,Credit Card
48,2023-10-10,Conference Registration Fee,100,Income,Conference,Bank Account
49,2023-10-15,Smartphone Upgrade,-300,Expense,Technology,Credit Card
50,2023-10-20,Investment Interest,50,Income,Investments,Bank Account
